"year","state","district","otherPct","id","INC","winner","open","challenged","demExpenditures","repExpenditures","otherExpenditures","midterm","cookPVI","presParty","presINCsameParty","prevPresR","prevPresD","prevPresINC","yrsINCpartyControl","termsDemControl","termsRepControl","age25to44","age65andover","raceWhite","raceBlackOrAfricanAmerican","raceAmericanIndianAndAlaskaNative","raceAsian","raceNativeHawaiianAndOtherPacificIslander","RaceSomeOtherRace","raceTwoOrMoreRaces","raceHispanicOrLatino","unemploymentRate","deltaUnemploymentRate","medianHouseholdIncome","percentDeltaMedianHouseholdIncome","percentBelowPovertyLevel","INCdwNom","sabato","sabatoNum","weightedPVI","incWin","thirdParty","midtermEffect","ideologyEffect","incExpenditures","nincExpenditures","incExpDiff","dExpDiff","logIncExp","PVIeffect","dPct2","rPct2","dWin","logNincExp","incPct2","sabatoScore","polls","dSwing","prevElectionDem","Prev2ElectionDem","Prev2ElectionDemDiff","OpenInc","midPres","prevElectionDemDiff","prevElectionDemDiffSwing","logDemExp","logRepExp","logDemContDiff","ideologyEffectDem","crossPressure"
"2006","AZ","3",0.02498828,"2006AZ3","R","R",0,1,107712.1,1167478.28,0,"1",30,"R","1",58,41,58,12,0,12,42.7,18.2,82.6,2.5,2.6,1.3,0.1,8.3,2.5,18.1,6.147085333,-2.047085333,40567,0.364828555,10.5,0.749,"R",5,22,"1","1","1",22.47,1167478.28,107712.1,2.38313103112773,-1059766.18,13.9703575210444,30,0.392134194106048,0.607865805893952,"0",11.5872264899166,0.607865805893952,5,7.9,10.5,0,0.310307854238104,-0.189692145761896,"R","R",-0.5,-0.310307854238104,11.5872264899166,13.9703575210444,-2.38313103112773,22.47,0
"2006","AZ","4",0.035576219,"2006AZ4","D","D",0,1,763935.99,0,0,"1",-25,"R","-1",38,62,62,2,2,0,49.2,11,81.6,3.1,1.8,2.4,0.1,8.2,2.9,18.8,4.728844576,0.671155424,44556,-0.18217524,11.1,-0.421,"D",-5,-21,"1","1","-1",10.525,763935.99,0,13.5462405909255,763935.99,13.5462405909255,25,0.751940978279687,0.248059021720313,"1",0,0.751940978279687,5,7.9,10.5,0.732056780705571,0.707764952367936,0.207764952367936,"D","R",0.232056780705571,0.0242918283376351,13.5462405909255,0,13.5462405909255,-10.525,0
"2006","AZ","5",0.031468739,"2006AZ5","R","D",0,1,1936352.38,3000386.7,0,"1",5,"R","1",54,45,54,11,0,11,42.7,16,82.1,3.1,1.2,2.1,0.1,8.4,3,20.5,7.453634059,-3.653634059,39289,0.460536028,11.5,0.559,"D Toss-up",-1,4,"0","1","1",2.795,3000386.7,1936352.38,0.437935010462169,-1064034.32,14.9142520716158,5,0.520503135653427,0.479496864346573,"1",14.4763170611536,0.479496864346573,-1,7.9,10.5,0.390970062944118,0.372117343423005,-0.127882656576995,"R","R",-0.109029937055882,0.0188527195211137,14.4763170611536,14.9142520716158,-0.437935010462169,2.795,0
"2006","AZ","6",0.252032081,"2006AZ6","R","R",0,0,0,272424.81,0,"1",49,"R","1",64,35,64,6,0,6,42.8,13.6,73,1.5,15.6,1.2,0.1,6.5,2.2,14.2,6.532545858,-2.932545858,43487,0.296755352,14.2,0.855,"R",5,37,"1","1","1",41.895,272424.81,0,12.5151215991361,-272424.81,12.5151215991361,49,0,1,"0",0,1,5,7.9,10.5,0,0.323747613687707,-0.176252386312293,"R","R",-0.5,-0.323747613687707,0,12.5151215991361,-12.5151215991361,41.895,0
"2006","AZ","7",0.035529367,"2006AZ7","D","D",0,1,662762.57,180161.33,0,"1",-15,"R","-1",43,57,57,13,13,0,28.1,11.2,60.5,3.2,6,1.8,0.1,25.2,3.1,54.5,5.2,3.2,38660,-0.022684946,16.1,-0.596,"D",-5,-13,"1","1","-1",8.94,662762.57,180161.33,1.30256004243567,482601.24,13.404173599234,15,0.633446851448933,0.366553148551067,"1",12.1016135567983,0.633446851448933,5,7.9,10.5,0.648278490198501,0.614218389448163,0.114218389448163,"D","R",0.148278490198501,0.0340601007503381,13.404173599234,12.1016135567983,1.30256004243567,-8.94,0
"2006","AZ","8",0.036556046,"2006AZ8","R","D",1,1,3305402.21,2939827.22,79553.81,"1",3,"R","1",53,46,53,2,0,2,24.5,17.4,82,3.5,0.9,2.5,0.2,8,2.9,20.3,3,1.6,48586,-0.018338616,7.3,0.351,"Likely D",-3,3,"0","1","1",1.053,2939827.22,3305402.21,-0.117207314790109,365574.99,14.8938617090364,3,0.563132811061793,0.436867188938207,"1",15.0110690238265,0.436867188938207,-3,7.9,10.5,0.374883235871584,0.346590616832631,-0.153409383167369,"Open","R",-0.125116764128416,0.028292619038953,15.0110690238265,14.8938617090364,0.117207314790109,1.053,0
"2006","AR","1",0,"2006AR1","D","D",0,1,1320299.4,93110.74,0,"1",-18,"R","-1",52,47,47,10,10,0,40.7,14.4,80,17.7,0.4,0.3,0,0.5,1,1.6,6.809255464,1.790744536,28925,0.130579084,18.9,-0.293,"D",-5,-12,"1","0","-1",5.274,1320299.4,93110.74,2.65181428814689,1227188.66,14.0933698444287,18,0.69264555779964,0.307354442200361,"1",11.4415555562818,0.69264555779964,5,7.9,10.5,0.665677369,0.668362036,0.168362036,"D","R",0.165677369,-0.00268466700000003,14.0933698444287,11.4415555562818,2.65181428814689,-5.274,0
"2006","AR","2",0,"2006AR2","D","D",0,1,643535.85,127675.94,0,"1",-10,"R","-1",51,48,48,11,11,0,38.9,12.2,76.6,19.5,0.5,0.9,0,1.1,1.3,2.4,7.202213599,-1.702213599,37221,0.125816072,12.7,-0.268,"D",-5,-7,"1","0","-1",2.68,643535.85,127675.94,1.61747612310498,515859.91,13.374734569336,10,0.605279612996418,0.394720387003582,"1",11.757258446231,0.605279612996418,5,7.9,10.5,0.58170126147215,1,0.5,"D","R",0.0817012614721497,-0.41829873852785,13.374734569336,11.757258446231,1.61747612310498,-2.68,0
"2006","AR","3",0,"2006AR3","R","R",0,1,361158.24,651616.09,0,"1",11,"R","1",62,36,62,14,0,14,39.4,14,90.8,1.8,1.3,1.3,0.1,2.8,1.8,5.8,5.599239492,-0.199239492,32958,0.190515201,13.8,0.402,"R",5,11,"1","0","1",4.422,651616.09,361158.24,0.590138135024459,-290457.85,13.3872123831132,11,0.377680117855508,0.622319882144492,"0",12.7970742480887,0.622319882144492,5,7.9,10.5,0.391065519089212,0,-0.5,"R","R",-0.108934480910788,0.391065519089212,12.7970742480887,13.3872123831132,-0.590138135024459,4.422,0
"2006","AR","4",0,"2006AR4","D","D",0,1,1254483.3,0,0,"1",-25,"R","-1",51,48,48,3,3,0,39.7,15.6,70.1,26.6,0.5,0.4,0,1.3,1.1,2.7,6.826995084,2.173004916,29976,0.076994929,18.6,-0.201,"D",-5,-17,"1","0","-1",5.025,1254483.3,0,14.0422351297641,1254483.3,14.0422351297641,25,0.747313457190144,0.252686542809856,"1",0,0.747313457190144,5,7.9,10.5,1,0.60562325,0.10562325,"D","R",0.5,0.39437675,14.0422351297641,0,14.0422351297641,-5.025,0
"2006","CA","1",0.047714502,"2006CA1","D","D",0,1,1382643.27,100139.68,0,"1",-21,"R","-1",38,60,60,4,4,0,40.8,12.9,76.6,4.6,2.8,3.6,0.3,7.4,4.6,16.5,8.413815844,-1.313815844,41683,0.112275988,12.7,-0.394,"D",-5,-18,"1","1","-1",8.274,1382643.27,100139.68,2.62517708501027,1282503.59,14.1395083613645,21,0.695601701324162,0.304398298675838,"1",11.5143312763542,0.695601701324162,5,7.9,10.5,0.70308462302306,0.664135167456915,0.164135167456915,"D","R",0.20308462302306,0.038949455566145,14.1395083613645,11.5143312763542,2.62517708501027,-8.274,0
"2006","CA","2",0.033572468,"2006CA2","R","R",0,1,169079.73,711853.77,0,"1",16,"R","1",62,37,62,14,0,14,36.1,15.3,86.3,1.6,2.4,2.5,0.1,3.4,3.7,8.5,9.553422446,-0.253422446,34365,0.2232504,16.4,0.551,"R",5,14,"1","1","1",8.816,711853.77,169079.73,1.43749762271509,-542774.04,13.4756291948693,16,0.335888158704374,0.664111841295626,"0",12.0381315721543,0.664111841295626,5,7.9,10.5,0.331499216,0.308192618520505,-0.191807381479495,"R","R",-0.168500784,0.0233065974794949,12.0381315721543,13.4756291948693,-1.43749762271509,8.816,0
"2006","CA","3",0.026918644,"2006CA3","R","R",0,1,313769.39,648140.16,794,"1",12,"R","1",58,41,58,4,0,4,39.8,11.5,73.2,3.8,1.3,6.4,0.3,9.9,5.1,19.5,8.456295945,-2.656295945,41288,0.532915133,14.4,0.497,"R",5,10,"1","1","1",5.964,648140.16,313769.39,0.725447035752696,-334370.77,13.381863791117,12,0.388772536673468,0.611227463326532,"0",12.6564167553643,0.611227463326532,5,7.9,10.5,0.36010915808117,0.355465192997639,-0.144534807002361,"R","R",-0.13989084191883,0.00464396508353038,12.6564167553643,13.381863791117,-0.725447035752696,5.964,0
"2006","CA","4",0.050835521,"2006CA4","R","R",0,1,1697342.46,2542705.36,0,"1",9,"R","1",61,37,61,7,0,7,37.4,13.2,87.7,1.6,1.1,2.7,0.2,3.5,3.3,9.2,5.26860754,0.53139246,51784,0.189324888,7.5,0.519,"Leans R",2,9,"1","1","1",4.671,2542705.36,1697342.46,0.404164651624622,-845362.9,14.7487395678197,9,0.483222165993828,0.516777834006172,"0",14.3445749161951,0.516777834006172,2,7.9,10.5,0.34606284,0.329896720641184,-0.170103279358816,"R","R",-0.15393716,0.016166119358816,14.3445749161951,14.7487395678197,-0.404164651624622,4.671,0
"2006","CA","5",0.056838128,"2006CA5","D","D",0,1,2617047.89,63161,12632,"1",-26,"R","-1",38,61,61,13,13,0,44,10.9,52.6,13.6,1.2,15.5,0.8,9.8,6.5,19.9,7.454081714,1.545918286,40402,0.088089699,17.4,-0.435,"D",-5,-22,"1","1","-1",11.31,2617047.89,63161,3.724099729555,2553886.89,14.7775578630344,26,0.750635734681991,0.249364265318009,"1",11.0534581334794,0.750635734681991,5,7.9,10.5,0.753609576320135,0.727405373961372,0.227405373961372,"D","R",0.253609576320135,0.0262042023587628,14.7775578630344,11.0534581334794,3.724099729555,-11.31,0
"2006","CA","6",0.036605738,"2006CA6","D","D",0,1,2162621.76,18102,0,"1",-23,"R","-1",28,70,70,13,13,0,39.9,13,82.6,2.1,0.9,3.8,0.2,6.6,3.9,14.4,4.070497161,1.029502839,58848,0.143981104,7.6,-0.556,"D",-5,-23,"1","1","-1",12.788,2162621.76,18102,4.78299933443106,2144519.76,14.586832283807,23,0.728914141414141,0.271085858585859,"1",9.80383294937594,0.728914141414141,5,7.9,10.5,0.726490132,0.692510480883739,0.192510480883739,"D","R",0.226490132,0.0339796511162611,14.586832283807,9.80383294937594,4.78299933443106,-12.788,0
"2006","CA","7",0.160058654,"2006CA7","D","D",0,0,719641.83,0,0,"1",-35,"R","-1",32,67,67,13,13,0,45.3,10.4,50.5,16.5,0.7,15.1,0.6,10.5,6.1,21.6,6.496160259,0.203839741,52420,0.16140786,10.4,-0.552,"D",-5,-30,"1","1","-1",19.32,719641.83,0,13.4865102984646,719641.83,13.4865102984646,35,1,0,"1",0,1,5,7.9,10.5,0.760823069,0.727864437778214,0.227864437778214,"D","R",0.260823069,0.0329586312217864,13.4865102984646,0,13.4865102984646,-19.32,0
"2006","CA","8",0.088843635,"2006CA8","D","D",0,1,1853047.23,371248.48,32091.98,"1",-39,"R","-1",14,85,85,13,13,0,50.3,13,49.5,9.1,0.5,28.4,0.6,7.6,4.4,16.1,4.8688587,1.2311413,52198,0.182899728,12.3,-0.492,"D",-5,-38,"1","1","-1",19.188,1853047.23,371248.48,1.60771296456671,1481798.75,14.4323425329914,39,0.88230748655155,0.11769251344845,"1",12.8246295684247,0.88230748655155,5,7.9,10.5,0.878184647812463,0.864207057025414,0.364207057025414,"D","R",0.378184647812463,0.0139775907870485,14.4323425329914,12.8246295684247,1.60771296456671,-19.188,0
"2006","CA","9",0.029196741,"2006CA9","D","D",0,1,1054313.37,38771.55,0,"1",-39,"R","-1",13,86,86,13,13,0,45.8,10.8,41.3,26.2,0.6,17.4,0.4,8.9,5.2,17.3,7.121888288,1.578111712,43718,0.170478979,17.5,-0.685,"D",-5,-39,"1","1","-1",26.715,1054313.37,38771.55,3.3029334263622,1015541.82,13.8684012273688,39,0.889454398476847,0.110545601523153,"1",10.5654678010066,0.889454398476847,5,7.9,10.5,0.873321236936629,0.842872737998794,0.342872737998794,"D","R",0.373321236936629,0.0304484989378351,13.8684012273688,10.5654678010066,3.3029334263622,-26.715,0
"2006","CA","10",0.000253835,"2006CA10","D","D",0,1,830583.69,5372,0,"1",-17,"R","-1",40,59,59,5,5,0,52.5,11,77.2,3.7,0.5,9.3,0.3,4.6,4.4,12.1,3.480039267,2.619960733,76832,-0.032460433,4.5,-0.308,"D",-5,-15,"1","0","-1",5.236,830583.69,5372,5.04074348682163,825211.69,13.6298851775504,17,0.664501746831329,0.335498253168671,"1",8.58914169072882,0.664501746831329,5,7.9,10.5,0.657140083,1,0.5,"D","R",0.157140083,-0.342859917,13.6298851775504,8.58914169072882,5.04074348682163,-5.236,0
"2006","CA","11",0,"2006CA11","R","D",0,1,2968676.96,5203829.18,0,"1",4,"R","1",54,45,54,7,0,7,43.8,10.6,60.4,6.6,1.1,11,0.4,14.5,6,27.8,9.668794317,-3.268794317,42945,0.746606124,16.4,0.461,"D Toss-up",-1,4,"0","0","1",1.844,5203829.18,2968676.96,0.561278205126365,-2235152.22,15.4649054854918,4,0.532657177209789,0.467342822790211,"1",14.9036272803654,0.467342822790211,-1,7.9,10.5,0.387720881,0.396853227,-0.103146773,"R","R",-0.112279119,-0.00913234599999996,14.9036272803654,15.4649054854918,-0.561278205126365,1.844,0
"2006","CA","12",0,"2006CA12","D","D",0,1,706335.84,0,0,"1",-27,"R","-1",27,72,72,7,7,0,43.4,13.8,52.9,2.7,0.4,30.9,1,6.8,5.2,15.9,3.249781889,1.450218111,68182,0.159176909,5.8,-0.376,"D",-5,-26,"1","0","-1",10.152,706335.84,0,13.4678475131759,706335.84,13.4678475131759,27,0.760459401943792,0.239540598056208,"1",0,0.760459401943792,5,7.9,10.5,0.765675332590371,0.733424551191781,0.233424551191781,"D","R",0.265675332590371,0.0322507813985905,13.4678475131759,0,13.4678475131759,-10.152,0
"2006","CA","13",0,"2006CA13","D","D",0,1,645577.57,24063.49,0,"1",-25,"R","-1",28,71,71,13,13,0,44.7,9.9,44.5,7.4,0.6,30.1,0.9,10.3,6.2,22.1,5.095303315,1.104696685,64476,0.100331906,6.9,-0.631,"D",-5,-24,"1","0","-1",15.775,645577.57,24063.49,3.28940961254954,621514.08,13.3779022014588,25,0.748872526149956,0.251127473850044,"1",10.0884925889093,0.748872526149956,5,7.9,10.5,0.749077930813956,0.763099156043189,0.263099156043189,"D","R",0.249077930813956,-0.0140212252292325,13.3779022014588,10.0884925889093,3.28940961254954,-15.775,0
"2006","CA","14",0.046959587,"2006CA14","D","D",0,1,1069190.57,0,6809,"1",-24,"R","-1",30,68,68,7,7,0,46.9,11.7,64.9,3.2,0.4,18.9,0.8,8.1,3.8,17.2,3.44972299,1.35027701,80000,0.0881875,6.2,-0.382,"D",-5,-23,"1","1","-1",9.168,1069190.57,0,13.8824133788163,1069190.57,13.8824133788163,24,0.745854689564069,0.254145310435931,"1",0,0.745854689564069,5,7.9,10.5,0.724254387939535,0.707704306236867,0.207704306236867,"D","R",0.224254387939535,0.0165500817026687,13.8824133788163,0,13.8824133788163,-9.168,0
"2006","CA","15",0,"2006CA15","D","D",0,1,763245.86,46274.94,0,"1",-23,"R","-1",36,63,63,3,3,0,46.8,10.7,69.5,2.1,0.5,17.6,0.3,5.4,4.6,13.3,3.323968918,2.376031082,77298,0.061929157,5.6,-0.529,"D",-5,-20,"1","0","-1",12.167,763245.86,46274.94,2.8029593460229,716970.92,13.5453367966024,23,0.723349904206163,0.276650095793837,"1",10.7423774505795,0.723349904206163,5,7.9,10.5,0.720287583,0.679561573053344,0.179561573053344,"D","R",0.220287583,0.0407260099466561,13.5453367966024,10.7423774505795,2.8029593460229,-12.167,0
"2006","CA","16",0,"2006CA16","D","D",0,1,622374.33,0,0,"1",-23,"R","-1",36,63,63,13,13,0,47.4,7.5,41.3,3.6,1,26.9,0.4,21.7,5.1,39.8,5.067977844,2.032022156,65593,0.071562514,10.4,-0.401,"D",-5,-20,"1","0","-1",9.223,622374.33,0,13.3412986141713,622374.33,13.3412986141713,23,0.727103682961068,0.272896317038932,"1",0,0.727103682961068,5,7.9,10.5,0.729186181617379,0.692191445296451,0.192191445296451,"D","R",0.229186181617379,0.0369947363209276,13.3412986141713,0,13.3412986141713,-9.223,0
"2006","CA","17",0,"2006CA17","D","D",0,1,678908.43,0,0,"1",-23,"R","-1",33,66,66,8,8,0,47.6,10,61.2,2.7,1.1,5,0.3,24.8,4.9,42.6,9.302384512,0.497615488,49441,0.138528751,13.2,-0.455,"D",-5,-21,"1","0","-1",10.465,678908.43,0,13.4282430103096,678908.43,13.4282430103096,23,0.770669253647515,0.229330746352485,"1",0,0.770669253647515,5,7.9,10.5,0.695821557925663,0.715889720324169,0.215889720324169,"D","R",0.195821557925663,-0.0200681623985061,13.4282430103096,0,13.4282430103096,-10.465,0
"2006","CA","18",0,"2006CA18","D","D",0,1,952162.28,138769.54,0,"1",-17,"R","-1",50,49,49,12,12,0,45.9,10.1,65,3.1,1.2,4.9,0.3,20.1,5.4,36.4,12.14725474,-0.34725474,38481,0.04893324,17.7,-0.262,"D",-5,-12,"1","0","-1",4.454,952162.28,138769.54,1.92591475498347,813392.74,13.7664918116719,17,0.654769898724164,0.345230101275836,"1",11.8405770566885,0.654769898724164,5,7.9,10.5,0.6748772,0.541717691016616,0.0417176910166157,"D","R",0.1748772,0.133159508983384,13.7664918116719,11.8405770566885,1.92591475498347,-4.454,0
"2006","CA","19",0,"2006CA19","R","R",0,1,886089.01,1197709.12,0,"1",16,"R","1",61,38,61,6,0,6,42.2,10.9,63.7,4.5,1.8,7.2,0.1,18,4.8,32.9,9.39835151,-1.09835151,37915,0.33601477,18.4,0.484,"R",5,14,"1","0","1",7.744,1197709.12,886089.01,0.301348242578882,-311620.11,13.9959220584282,16,0.394232776904733,0.605767223095267,"0",13.6945738158493,0.605767223095267,5,7.9,10.5,0.291917539220032,0.308589172560181,-0.191410827439819,"R","R",-0.208082460779968,-0.0166716333401488,13.6945738158493,13.9959220584282,-0.301348242578882,7.744,0
"2006","CA","20",0,"2006CA20","D","D",0,0,722341.45,49715.54,0,"1",-4,"R","-1",48,51,51,7,7,0,44.8,7.6,43,5.9,1.6,4.7,0.1,40.3,4.5,63.7,19.90630356,-7.006303561,29149,0.105080792,29.5,-0.186,"D",-5,-4,"1","0","-1",0.744,722341.45,49715.54,2.67616165940511,672625.91,13.490254612906,4,1,0,"1",10.8140929535008,1,5,7.9,10.5,0.534026051,0.65015357276235,0.15015357276235,"D","R",0.034026051,-0.11612752176235,13.490254612906,10.8140929535008,2.67616165940511,-0.744,0
"2006","CA","21",0.033148513,"2006CA21","R","R",0,1,154341.22,991879.87,0,"1",21,"R","1",65,34,65,14,0,14,41.7,10.7,68.1,4.5,1.6,3,0.2,18.3,4.3,31.4,10.42426536,-1.524265358,37168,0.218871072,18.4,0.449,"R",5,19,"1","1","1",9.429,991879.87,154341.22,1.86043066459367,-837538.65,13.8073582883297,21,0.309703332076675,0.690296667923325,"0",11.9469276237361,0.690296667923325,5,7.9,10.5,0.268278605,0.271244005971669,-0.228755994028331,"R","R",-0.231721395,-0.00296540097166909,11.9469276237361,13.8073582883297,-1.86043066459367,9.429,0
"2006","CA","22",0,"2006CA22","R","R",1,1,27673,1789961.68,0,"1",20,"R","1",68,31,68,2,0,2,43.4,13.4,77.3,2.2,1.1,3.6,0.2,11.6,4,27,7.372709823,-0.272709823,45031,0.124492017,13.8,0.371,"R",5,19,"1","0","1",7.42,1789961.68,27673,4.16945670520825,-1762288.68,14.3977053284376,20,0.292969910452829,0.707030089547171,"0",10.2282486232293,0.707030089547171,5,7.9,10.5,0,0.244498655178182,-0.255501344821818,"Open","R",-0.5,-0.244498655178182,10.2282486232293,14.3977053284376,-4.16945670520825,7.42,0
"2006","CA","23",0.000102301,"2006CA23","D","D",0,1,922780.48,83660.91,2424,"1",-15,"R","-1",40,58,58,2,2,0,41.7,10.1,66.9,2.1,1,5.3,0.2,20.3,4.2,37.7,6.802660415,-1.202660415,56174,-0.069533948,10.1,-0.389,"D",-5,-14,"1","0","-1",5.835,922780.48,83660.91,2.4006086604862,839119.57,13.7351477357262,15,0.651731056709088,0.348268943290912,"1",11.33453907524,0.651731056709088,5,7.9,10.5,0.647230418590042,0.604662911358558,0.104662911358558,"D","R",0.147230418590042,0.0425675072314841,13.7351477357262,11.33453907524,2.4006086604862,-5.835,0
